시점,GDP_디플레이터(2010)_증감률(%)
1991-01-01,9.1
1992-01-01,7.8
1993-01-01,6.3
1994-01-01,8.2
1995-01-01,7.0
1996-01-01,4.1
1997-01-01,4.0
1998-01-01,4.5
1999-01-01,-1.2
2000-01-01,1.0
2001-01-01,3.5
2002-01-01,3.0
2003-01-01,3.5
2004-01-01,3.1
2005-01-01,1.0
2006-01-01,-0.2
2007-01-01,2.4
2008-01-01,2.8
2009-01-01,3.6
2010-01-01,2.7
2011-01-01,1.3
2012-01-01,1.3
2013-01-01,1.0
2014-01-01,0.9
2015-01-01,3.2
2016-01-01,2.0
2017-01-01,2.2
2018-01-01,0.5
2019-01-01,-0.8
2020-01-01,1.6
2021-01-01,2.8
2022-01-01,1.3
