,전국,수도권,지방
1986-01-01,31.7,,
1987-01-01,34.0,,
1988-01-01,38.5,,
1989-01-01,44.1,,
1990-01-01,53.4,,
1991-01-01,53.1,,
1992-01-01,50.4,,
1993-01-01,49.0,,
1994-01-01,48.9,,
1995-01-01,48.8,,
1996-01-01,49.6,,
1997-01-01,50.5,,
1998-01-01,44.3,,
1999-01-01,45.8,38.9,
2000-01-01,46.0,39.8,
2001-01-01,50.5,45.4,
2002-01-01,58.8,55.3,
2003-01-01,61.0,55.4,67.8
2004-01-01,59.5,53.6,66.7
2005-01-01,61.7,56.2,68.3
2006-01-01,68.8,67.7,69.7
2007-01-01,72.8,74.7,70.1
2008-01-01,77.1,81.7,71.5
2009-01-01,78.3,82.7,72.7
2010-01-01,79.4,81.2,76.7
2011-01-01,84.3,81.9,86.5
2012-01-01,83.1,78.3,87.6
2013-01-01,83.3,77.4,89.1
2014-01-01,84.8,78.6,90.8
2015-01-01,87.7,82.0,93.3
2016-01-01,88.4,83.1,93.4
2017-01-01,89.7,85.1,94.1
2018-01-01,90.6,87.9,93.3
2019-01-01,90.3,88.3,92.2
2020-01-01,95.2,94.0,96.2
2021-01-01,104.6,106.1,103.3
2022-01-01,99.7,99.2,100.2
