,수도권,부산
1970-01-01,798,6023
1971-01-01,831,6338
1972-01-01,857,6083
1973-01-01,881,6362
1974-01-01,915,6674
1975-01-01,952,6979
1976-01-01,993,7325
1977-01-01,1035,8337
1978-01-01,1075,6941
1979-01-01,1120,7322
1980-01-01,1160,7648
1981-01-01,1197,7854
1982-01-01,1239,8006
1983-01-01,1284,8123
1984-01-01,1330,8243
1985-01-01,1368,8349
1986-01-01,1405,8447
1987-01-01,1445,8560
1988-01-01,1486,8659
1989-01-01,1528,7231
1990-01-01,1568,7185
1991-01-01,1599,7208
1992-01-01,1634,7240
1993-01-01,1668,7229
1994-01-01,1704,7241
1995-01-01,1748,5144
1996-01-01,1771,5106
1997-01-01,1794,5065
1998-01-01,1812,5012
1999-01-01,1831,4949
2000-01-01,1858,4912
2001-01-01,1885,4877
2002-01-01,1914,4830
2003-01-01,1942,4782
2004-01-01,1964,4750
2005-01-01,1981,4699
2006-01-01,2003,4658
2007-01-01,2024,4619
2008-01-01,2048,4588
2009-01-01,2061,4566
2010-01-01,2070,4531
2011-01-01,2088,4524
2012-01-01,2099,4498
2013-01-01,2111,4489
2014-01-01,2124,4485
2015-01-01,2134,4484
2016-01-01,2139,4477
2017-01-01,2149,4447
2018-01-01,2164,4420
2019-01-01,2179,4391
2020-01-01,2193,4358
2021-01-01,2195,4320
2022-01-01,2195,4278
