time,현재생활형편_전국,현재경기판단_전국,향후경기전망_전국,취업기회전망_전국,물가수준전망_전국,교육비지출전망_전국
1995-12-31,92.5,84.0,99.0,91.5,147.5,137.0
1996-12-31,87.5,65.5,86.5,81.25,150.75,137.0
1997-12-31,73.75,37.75,65.25,54.75,152.75,127.5
1998-12-31,48.5,33.75,55.25,43.5,141.0,94.5
1999-12-31,85.25,109.25,117.25,104.75,137.0,114.5
2000-12-31,82.5,82.25,86.5,88.0,144.0,117.75
2001-12-31,81.5,71.5,79.5,73.75,139.75,116.25
2002-12-31,96.25,110.25,113.0,108.5,138.25,116.75
2003-12-31,74.5,57.25,75.0,69.25,140.25,111.75
2004-12-31,69.0,44.75,65.75,64.75,144.5,108.5
2005-12-31,78.75,76.0,94.25,83.25,138.25,112.25
2006-12-31,80.75,68.75,81.25,76.25,137.25,114.25
2007-12-31,85.25,79.5,94.0,81.0,139.75,113.5
2008-12-31,72.83333333333333,32.666666666666664,62.333333333333336,58.333333333333336,145.0,109.66666666666667
2009-12-31,86.75,83.0,100.83333333333333,82.16666666666667,143.58333333333334,109.16666666666667
2010-12-31,93.58333333333333,99.33333333333333,107.83333333333333,98.83333333333333,147.66666666666666,114.91666666666667
2011-12-31,86.75,74.75,84.16666666666667,89.75,154.16666666666666,114.41666666666667
2012-12-31,86.83333333333333,71.16666666666667,82.33333333333333,85.25,145.91666666666666,111.91666666666667
2013-12-31,90.58333333333333,78.25,94.08333333333333,92.66666666666667,136.91666666666666,104.33333333333333
2014-12-31,91.58333333333333,80.5,95.41666666666667,91.75,135.25,107.5
2015-12-31,90.66666666666667,73.33333333333333,87.58333333333333,85.33333333333333,131.25,108.0
2016-12-31,90.66666666666667,68.16666666666667,78.0,76.58333333333333,134.83333333333334,107.58333333333333
2017-12-31,92.25,80.75,95.58333333333333,96.66666666666667,139.91666666666666,107.16666666666667
2018-12-31,92.25,77.25,88.08333333333333,86.75,142.41666666666666,105.0
2019-12-31,91.5,69.5,76.41666666666667,79.75,139.91666666666666,102.08333333333333
2020-12-31,84.91666666666667,52.0,73.91666666666667,70.58333333333333,136.16666666666666,96.83333333333333
2021-12-31,90.66666666666667,77.0,94.16666666666667,88.91666666666667,147.25,101.0
2022-12-31,86.41666666666667,59.5,71.08333333333333,81.41666666666667,156.5,100.33333333333333
