,초등학교,중학교,고등학교,대학교
1960-01-01,3629000,1566000,1417000,1941000
1961-01-01,3881000,1629000,1407000,1944000
1962-01-01,4161000,1631000,1459000,1942000
1963-01-01,4442000,1637000,1551000,1900000
1964-01-01,4731000,1715000,1615000,1865000
1965-01-01,5057000,1815000,1618000,1913000
1966-01-01,5336000,1954000,1625000,1991000
1967-01-01,5501000,2126000,1703000,2064000
1968-01-01,5632000,2304000,1802000,2123000
1969-01-01,5720000,2453000,1933000,2159000
1970-01-01,5711000,2574000,2101000,2218000
1971-01-01,5583000,2683000,2275000,2287000
1972-01-01,5481000,2827000,2422000,2449000
1973-01-01,5398000,2865000,2519000,2647000
1974-01-01,5348000,2842000,2628000,2814000
1975-01-01,5331000,2819000,2738000,2995000
1976-01-01,5346000,2765000,2799000,3165000
1977-01-01,5413000,2698000,2808000,3295000
1978-01-01,5483000,2631000,2785000,3432000
1979-01-01,5513000,2592000,2737000,3553000
1980-01-01,5499000,2599000,2671000,3632000
1981-01-01,5405000,2657000,2595000,3636000
1982-01-01,5268000,2728000,2565000,3566000
1983-01-01,5116000,2785000,2585000,3487000
1984-01-01,4973000,2806000,2642000,3426000
1985-01-01,4863000,2780000,2709000,3395000
1986-01-01,4804000,2714000,2766000,3391000
1987-01-01,4818000,2624000,2783000,3438000
1988-01-01,4865000,2509000,2759000,3513000
1989-01-01,4883000,2394000,2708000,3597000
1990-01-01,4786000,2317000,2595000,3663000
1991-01-01,4663000,2313000,2481000,3658000
1992-01-01,4482000,2364000,2379000,3600000
1993-01-01,4266000,2438000,2311000,3493000
1994-01-01,4058000,2480000,2302000,3358000
1995-01-01,3901000,2443000,2349000,3225000
1996-01-01,3822000,2343000,2459000,3088000
1997-01-01,3823000,2179000,2500000,3044000
1998-01-01,3887000,2033000,2459000,3091000
1999-01-01,3981000,1926000,2330000,3196000
2000-01-01,4073000,1869000,2166000,3275000
2001-01-01,4150000,1847000,2014000,3267000
2002-01-01,4192000,1863000,1902000,3158000
2003-01-01,4186000,1913000,1846000,2971000
2004-01-01,4118000,1993000,1824000,2766000
2005-01-01,4018000,2064000,1841000,2596000
2006-01-01,3919000,2104000,1888000,2497000
2007-01-01,3808000,2095000,1966000,2465000
2008-01-01,3631000,2070000,2039000,2471000
2009-01-01,3446000,2034000,2089000,2514000
2010-01-01,3280000,1985000,2084000,2601000
2011-01-01,3109000,1914000,2062000,2700000
2012-01-01,2926000,1867000,2028000,2769000
2013-01-01,2783000,1818000,1985000,2811000
2014-01-01,2751000,1719000,1912000,2799000
2015-01-01,2720000,1578000,1868000,2755000
2016-01-01,2688000,1458000,1816000,2710000
2017-01-01,2719000,1385000,1715000,2642000
2018-01-01,2756000,1340000,1574000,2593000
2019-01-01,2766000,1319000,1453000,2537000
2020-01-01,2724000,1364000,1390000,2410000
2021-01-01,2718000,1379000,1344000,2258000
2022-01-01,2701000,1366000,1322000,2093000
2023-01-01,2604000,1362000,1360000,1933000
2024-01-01,2480000,1382000,1374000,1857000
2025-01-01,2337000,1400000,1363000,1838000
2026-01-01,2192000,1355000,1359000,1847000
2027-01-01,2020000,1327000,1380000,1854000
2028-01-01,1848000,1294000,1398000,1862000
2029-01-01,1707000,1246000,1353000,1886000
2030-01-01,1592000,1151000,1325000,1874000
2031-01-01,1508000,1041000,1293000,1886000
2032-01-01,1467000,946000,1244000,1876000
2033-01-01,1458000,870000,1150000,1839000
2034-01-01,1474000,808000,1041000,1798000
2035-01-01,1515000,763000,946000,1723000
2036-01-01,1578000,725000,870000,1637000
2037-01-01,1648000,702000,809000,1515000
2038-01-01,1711000,707000,763000,1378000
2039-01-01,1767000,735000,726000,1265000
2040-01-01,1814000,774000,703000,1176000
2041-01-01,1853000,811000,708000,1102000
2042-01-01,1879000,845000,736000,1046000
2043-01-01,1887000,875000,775000,1011000
2044-01-01,1880000,902000,812000,1002000
2045-01-01,1860000,923000,846000,1020000
2046-01-01,1829000,940000,876000,1061000
2047-01-01,1790000,953000,902000,1111000
2048-01-01,1751000,957000,923000,1157000
2049-01-01,1717000,948000,940000,1199000
2050-01-01,1688000,928000,953000,1237000
2051-01-01,1664000,904000,957000,1268000
2052-01-01,1642000,882000,948000,1294000
2053-01-01,1621000,864000,928000,1314000
2054-01-01,1599000,849000,904000,1323000
2055-01-01,1573000,836000,883000,1318000
2056-01-01,1543000,826000,864000,1301000
2057-01-01,1507000,817000,849000,1274000
2058-01-01,1465000,808000,837000,1244000
2059-01-01,1419000,797000,827000,1217000
2060-01-01,1370000,784000,818000,1195000
2061-01-01,1319000,768000,809000,1177000
2062-01-01,1269000,748000,798000,1162000
2063-01-01,1223000,725000,785000,1149000
2064-01-01,1181000,701000,768000,1137000
2065-01-01,1145000,674000,749000,1124000
2066-01-01,1118000,648000,726000,1108000
2067-01-01,1099000,622000,702000,1088000
2068-01-01,1089000,599000,675000,1064000
2069-01-01,1086000,578000,649000,1036000
2070-01-01,1091000,562000,623000,1005000
