시점,전체(만 원),초등학교(만 원),중학교(만 원),고등학교(만 원)
2007-01-01,22.2,22.7,23.4,19.7
2008-01-01,23.3,24.2,24.1,20.6
2009-01-01,24.2,24.5,26.0,21.7
2010-01-01,24.0,24.5,25.5,21.8
2011-01-01,24.0,24.1,26.2,21.8
2012-01-01,23.6,21.9,27.6,22.4
2013-01-01,23.9,23.2,26.7,22.3
2014-01-01,24.2,23.2,27.0,23.0
2015-01-01,24.4,23.1,27.5,23.6
2016-01-01,25.6,24.1,27.5,26.2
2017-01-01,27.2,25.3,29.1,28.5
2018-01-01,29.1,26.3,31.2,32.1
2019-01-01,32.1,29.0,33.8,36.5
2020-01-01,30.2,23.5,34.2,39.6
2021-01-01,36.7,32.8,39.2,41.9
2022-01-01,41.0,37.2,43.8,46.0
