시점,출생아수
1970-01-01,1007000.0
1971-01-01,1025000.0
1972-01-01,953000.0
1973-01-01,966000.0
1974-01-01,923000.0
1975-01-01,874000.0
1976-01-01,796000.0
1977-01-01,825000.0
1978-01-01,751000.0
1979-01-01,863000.0
1980-01-01,863000.0
1981-01-01,867000.0
1982-01-01,848000.0
1983-01-01,769000.0
1984-01-01,675000.0
1985-01-01,655000.0
1986-01-01,636000.0
1987-01-01,624000.0
1988-01-01,633000.0
1989-01-01,639000.0
1990-01-01,650000.0
1991-01-01,709000.0
1992-01-01,731000.0
1993-01-01,716000.0
1994-01-01,721000.0
1995-01-01,715000.0
1996-01-01,691000.0
1997-01-01,675400.0
1998-01-01,641600.0
1999-01-01,620700.0
2000-01-01,640100.0
2001-01-01,559900.0
2002-01-01,496900.0
2003-01-01,495000.0
2004-01-01,477000.0
2005-01-01,438700.0
2006-01-01,451800.0
2007-01-01,496800.0
2008-01-01,465900.0
2009-01-01,444800.0
2010-01-01,470200.0
2011-01-01,471300.0
2012-01-01,484600.0
2013-01-01,436500.0
2014-01-01,435400.0
2015-01-01,438400.0
2016-01-01,406200.0
2017-01-01,357800.0
2018-01-01,326800.0
2019-01-01,302700.0
2020-01-01,272300.0
2021-01-01,260600.00000000003
2022-01-01,249100.0
