year,birth_population
2022-01-01,249100
2023-01-01,249175
2024-01-01,248188
2025-01-01,249429
2026-01-01,248987
2027-01-01,249053
2028-01-01,248449
2029-01-01,248512
2030-01-01,248548
2031-01-01,248756
2032-01-01,247998
2033-01-01,247578
2034-01-01,247016
2035-01-01,247947
2036-01-01,247162
2037-01-01,248436
2038-01-01,246041
2039-01-01,245210
2040-01-01,245122
2041-01-01,245828
2042-01-01,246608
2043-01-01,247100
2044-01-01,246476
2045-01-01,247942
2046-01-01,247127
2047-01-01,246025
2048-01-01,243815
2049-01-01,245494
2050-01-01,244410
2051-01-01,244105
2052-01-01,243912
2053-01-01,243429
2054-01-01,244485
2055-01-01,244759
2056-01-01,243565
2057-01-01,244773
2058-01-01,244592
2059-01-01,242511
2060-01-01,243606
