time,향후경기전망_전국
1996-12-31,-0.13353139262452274
1997-12-31,-0.27820332849723783
1998-12-31,-0.1636294237818019
1999-12-31,0.7429949862875134
2000-12-31,-0.30116223400847364
2001-12-31,-0.08338160893905133
2002-12-31,0.34794126396997793
2003-12-31,-0.4054651081081646
2004-12-31,-0.1297790430059722
2005-12-31,0.35555071672645155
2006-12-31,-0.14674162436132931
2007-12-31,0.14411350195505968
2008-12-31,-0.4054651081081646
2009-12-31,0.47492570645116405
2010-12-31,0.06648017010483542
2011-12-31,-0.24520753907272574
2012-12-31,-0.021761491781512987
2013-12-31,0.13190507087993808
2014-12-31,0.013925377331601041
2015-12-31,-0.08473534885172818
2016-12-31,-0.11449587608692635
2017-12-31,0.20095834108472932
2018-12-31,-0.08083393231470559
2019-12-31,-0.14037017221120696
2020-12-31,-0.03282570434221821
2021-12-31,0.23925335574433504
2022-12-31,-0.2778068832840761
