,0
0,237581.3202295354
1,226063.79726973944
2,214621.89082704036
3,203211.65883499885
4,191839.6109456138
5,180492.13567591895
6,169142.03016450215
7,157817.9485665616
8,146529.59737681525
9,135239.76536216112
10,123993.94777451728
11,112760.90665086733
12,101512.05211016235
13,90267.00383082303
14,79065.33921585213
15,67855.21027749596
16,56716.57057818578
17,45650.77896748431
18,34660.96291272639
19,23678.997410336786
20,12765.869685183729
21,1858.7524588570159
22,-8915.575233882377
23,-19612.184239034847
24,-30207.26107163671
25,-40763.01530221732
26,-51268.411714832895
27,-61714.11874369363
28,-72060.75643274037
29,-82328.31919128408
30,-92515.37984142241
31,-102612.43614330213
32,-112643.67936460745
33,-122567.57814445983
34,-132360.6873950493
35,-142054.4402681339
36,-151670.89818144395
37,-161149.9234759048
38,-170554.15446328287
39,-179836.20513023325
40,-188998.3006469693
41,-198053.8415718326
42,-207019.02226463347
43,-215856.0257730788
44,-224595.11513615996
45,-233165.67757062797
46,-241580.15277199048
47,-249890.64346987611
48,-258079.48780519588
49,-266092.4964216185
